timestamp=2024-08-11T10:47:40.584496, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.81187, battery_voltage_avg=2.90938, battery_current_now=-1.264, battery_current_avg=0.116, charger_voltage_now=7.26113, charger_current_now=0.0
timestamp=2024-08-11T10:47:56.380624, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.89346, battery_voltage_avg=2.88152, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:48:10.933134, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.83575, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:48:25.917131, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.83575, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:48:41.256989, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.91137, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.18923, charger_current_now=0.546
timestamp=2024-08-11T10:48:55.733942, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.87754, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=6.40758, charger_current_now=0.346
timestamp=2024-08-11T10:49:11.280570, cpu_temp=73.598, battery_percentage=0, battery_voltage_now=2.92132, battery_voltage_avg=2.91137, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.658
timestamp=2024-08-11T10:49:27.156040, cpu_temp=73.598, battery_percentage=0, battery_voltage_now=2.81784, battery_voltage_avg=2.91137, battery_current_now=-1.38, battery_current_avg=0.116, charger_voltage_now=6.06616, charger_current_now=0.652
timestamp=2024-08-11T10:49:40.731709, cpu_temp=73.598, battery_percentage=0, battery_voltage_now=2.9054, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.664
timestamp=2024-08-11T10:49:55.463862, cpu_temp=74.136, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.116, charger_voltage_now=4.87913, charger_current_now=0.626
timestamp=2024-08-11T10:50:10.887258, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.91137, battery_voltage_avg=2.88152, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.45125, charger_current_now=0.352
timestamp=2024-08-11T10:50:26.051575, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.88152, battery_current_now=0.0, battery_current_avg=0.0, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:50:40.698230, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.85764, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.25672, charger_current_now=0.426
timestamp=2024-08-11T10:50:56.151262, cpu_temp=74.136, battery_percentage=0, battery_voltage_now=2.90142, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=5.03793, charger_current_now=0.658
timestamp=2024-08-11T10:51:10.564141, cpu_temp=73.06, battery_percentage=0, battery_voltage_now=2.81386, battery_voltage_avg=2.90938, battery_current_now=-1.228, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.55
timestamp=2024-08-11T10:51:25.896017, cpu_temp=72.522, battery_percentage=0, battery_voltage_now=2.90938, battery_voltage_avg=2.90938, battery_current_now=0.0, battery_current_avg=0.116, charger_voltage_now=4.59726, charger_current_now=0.652
timestamp=2024-08-11T10:51:40.979265, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=5.29598, charger_current_now=0.502
timestamp=2024-08-11T10:51:55.802275, cpu_temp=71.984, battery_percentage=0, battery_voltage_now=2.91535, battery_voltage_avg=2.90938, battery_current_now=0.116, battery_current_avg=0.0, charger_voltage_now=6.14556, charger_current_now=0.572
